RIC	Date	Action
NFLX.OQ	24/12/2012	OUT
REGN.OQ	24/12/2012	IN
SBAC.OQ	24/12/2012	IN
VRSN.OQ	24/12/2012	OUT
VRSK.OQ	24/12/2012	IN
WCRX.OQ^J13 (expired)	24/12/2012	OUT
WDC.OQ	24/12/2012	IN
FB.OQ	12/12/2012	IN
INFY.N	12/12/2012	OUT
MDLZ.OQ	23/07/2012	IN
TCOM.OQ	23/07/2012	OUT
TEVA.N	01/06/2012	OUT
VIAB.OQ^L19 (expired)	01/06/2012	IN
FSLR.OQ	23/04/2012	OUT
TXN.OQ	23/04/2012	IN
GOLD.OQ^A19 (expired)	19/12/2011	IN
AVGO.OQ	19/12/2011	IN
FLIR.OQ	19/12/2011	OUT
FOSL.OQ	19/12/2011	IN
ILMN.OQ	19/12/2011	OUT
MNST.OQ	19/12/2011	IN
NIHD.OQ^I14 (expired)	19/12/2011	OUT
NUAN.OQ	19/12/2011	IN
QGEN.N	19/12/2011	OUT
URBN.OQ	19/12/2011	OUT
JOY.N^D17 (expired)	06/12/2011	OUT
PRGO.N	06/12/2011	IN
CEPH.OQ^J11 (expired)	15/07/2011	OUT
SIRI.OQ	15/07/2011	IN
GMCR.OQ^C16 (expired)	27/05/2011	IN
MICC.OQ^E11 (expired)	27/05/2011	OUT
ALXN.OQ	04/04/2011	IN
GENZ.OQ^D11 (expired)	04/04/2011	OUT
AKAM.OQ	20/12/2010	IN
CTAS.OQ	20/12/2010	OUT
DISH.OQ	20/12/2010	OUT
DLTR.OQ	20/12/2010	IN
FFIV.OQ	20/12/2010	IN
FWLT.OQ^L14 (expired)	20/12/2010	OUT
HOLX.OQ	20/12/2010	OUT
JBHT.OQ	20/12/2010	OUT
LOGI.OQ	20/12/2010	OUT
MU.OQ	20/12/2010	IN
NFLX.OQ	20/12/2010	IN
PDCO.OQ	20/12/2010	OUT
TCOM.OQ	20/12/2010	IN
WFM.OQ^H17 (expired)	20/12/2010	IN
AKAM.OQ	22/12/2009	OUT
BMC.OQ^I13 (expired)	22/12/2009	IN
IAC.OQ	22/12/2009	OUT
LBTYA.OQ	22/12/2009	OUT
MAT.OQ	22/12/2009	IN
MNST.OQ	22/12/2009	OUT
MYL.OQ	22/12/2009	IN
PPDI.OQ^L11 (expired)	22/12/2009	OUT
QGEN.N	22/12/2009	IN
RYAAY.OQ	22/12/2009	OUT
SNDK.OQ^E16 (expired)	22/12/2009	IN
STLD.OQ	22/12/2009	OUT
VMED.OQ^F13 (expired)	22/12/2009	IN
VOD.OQ	22/12/2009	IN
BKNG.OQ	29/10/2009	IN
JNPR.N	29/10/2009	OUT
JAVA.OQ^B10 (expired)	23/07/2009	OUT
CERN.OQ	20/07/2009	IN
FMCN.OQ^E13 (expired)	20/01/2009	OUT
TFCFA.OQ^C19 (expired)	20/01/2009	IN
ADP.OQ	23/12/2008	IN
LIFE.OQ^B14 (expired)	23/12/2008	IN
MXIM.OQ	23/12/2008	IN
ORLY.OQ	23/12/2008	IN
PPDI.OQ^L11 (expired)	23/12/2008	IN
ROST.OQ	23/12/2008	IN
URBN.OQ	23/12/2008	IN
WCRX.OQ^J13 (expired)	23/12/2008	IN
AMLN.OQ^H12 (expired)	22/12/2008	OUT
CDNS.OQ	22/12/2008	OUT
DISCA.OQ	22/12/2008	OUT
FSLR.OQ	22/12/2008	IN
ILMN.OQ	22/12/2008	IN
JBHT.OQ	22/12/2008	IN
LAMR.OQ	22/12/2008	OUT
LEAP.OQ^C14 (expired)	22/12/2008	OUT
LVLT.N^K17 (expired)	22/12/2008	OUT
PETM.OQ^C15 (expired)	22/12/2008	OUT
SNDK.OQ^E16 (expired)	22/12/2008	OUT
SIRI.OQ	22/12/2008	OUT
VMED.OQ^F13 (expired)	22/12/2008	OUT
WFM.OQ^H17 (expired)	22/12/2008	OUT
MWW.N^K16 (expired)	10/11/2008	OUT
STX.OQ	10/11/2008	IN
FLIR.OQ	21/07/2008	IN
UAL.OQ	21/07/2008	OUT
ATVI.OQ	10/07/2008	OUT
ATVI.OQ	10/07/2008	IN
CA.OQ^K18 (expired)	19/05/2008	IN
TLAB.OQ^L13 (expired)	19/05/2008	OUT
BEAS.OQ^E08 (expired)	30/04/2008	OUT
DTV.OQ^G15 (expired)	30/04/2008	IN
ERIC.OQ	24/12/2007	OUT
FMCN.OQ^E13 (expired)	24/12/2007	IN
HOLX.OQ	24/12/2007	IN
MNST.OQ	24/12/2007	IN
PTEN.OQ	24/12/2007	OUT
ROST.OQ	24/12/2007	OUT
STLD.OQ	24/12/2007	IN
SRCL.OQ	24/12/2007	IN
SEPR.OQ^J09 (expired)	24/12/2007	OUT
XMSR.OQ^H08 (expired)	24/12/2007	OUT
BIDU.OQ	04/12/2007	IN
CKFR.OQ^L07 (expired)	04/12/2007	OUT
CDWC.OQ^L07 (expired)	08/10/2007	OUT
LEAP.OQ^C14 (expired)	08/10/2007	IN
HSIC.OQ	02/10/2007	IN
MXIM.OQ^J07 (expired)	02/10/2007	OUT
BMET.OQ^J07 (expired)	11/07/2007	OUT
FWLT.OQ^L14 (expired)	11/07/2007	IN
CEPH.OQ^J11 (expired)	01/06/2007	IN
MEDI.OQ^F07 (expired)	01/06/2007	OUT
AEO.N	08/03/2007	OUT
UAL.OQ	08/03/2007	IN
RYAAY.OQ	14/02/2007	IN
APCC.OQ^B07 (expired)	14/02/2007	OUT
VMED.OQ^F13 (expired)	08/02/2007	OUT
VMED.OQ^F13 (expired)	08/02/2007	IN
CMVT.OQ^B07 (expired)	01/02/2007	OUT
LOGI.OQ	01/02/2007	IN
INFY.N	18/12/2006	IN
LVLT.N^K17 (expired)	18/12/2006	IN
LNCR.OQ^H12 (expired)	18/12/2006	OUT
URBN.OQ	18/12/2006	OUT
VRTX.OQ	18/12/2006	IN
VIAV.OQ	18/12/2006	OUT
AEO.N	12/12/2006	IN
ATYT.OQ^K06 (expired)	24/10/2006	OUT
QRTEA.OQ	24/10/2006	IN
MICC.OQ^E11 (expired)	10/05/2006	IN
PIXR.OQ^E06 (expired)	08/05/2006	OUT
AKAM.OQ	21/04/2006	IN
CHIR.OQ^D06 (expired)	21/04/2006	OUT
VMED.OQ^F13 (expired)	06/03/2006	IN
NTLI.OQ^C06 (expired)	06/03/2006	OUT
ISRG.OQ	01/02/2006	IN
SEBL.OQ^B06 (expired)	01/02/2006	OUT
AMLN.OQ^H12 (expired)	09/01/2006	IN
MCIP.OQ^A06 (expired)	09/01/2006	OUT
JOY.N^D17 (expired)	04/01/2006	IN
MERQE.OQ^A06 (expired)	04/01/2006	OUT
ATVI.OQ	21/12/2005	IN
GOOGL.OQ	21/12/2005	IN
CDNS.OQ	21/12/2005	IN
CKFR.OQ^L07 (expired)	21/12/2005	IN
DISCA.OQ	21/12/2005	IN
DLTR.OQ	21/12/2005	OUT
EXPE.OQ	21/12/2005	IN
ISIL.OQ^B17 (expired)	21/12/2005	OUT
LVLT.N^K17 (expired)	21/12/2005	OUT
LIFE.OQ^B14 (expired)	21/12/2005	OUT
MLNM.OQ^E08 (expired)	21/12/2005	OUT
MOLX.OQ^L13 (expired)	21/12/2005	OUT
MWW.N^K16 (expired)	21/12/2005	IN
NIHD.OQ^I14 (expired)	21/12/2005	IN
NVLS.OQ^F12 (expired)	21/12/2005	OUT
NVDA.OQ	21/12/2005	IN
PTEN.OQ	21/12/2005	IN
PRDO.OQ	21/12/2005	OUT
QLGC.OQ^H16 (expired)	21/12/2005	OUT
RHT.N^G19 (expired)	21/12/2005	IN
SANM.OQ	21/12/2005	OUT
SSCC.OQ^B09 (expired)	21/12/2005	OUT
SNPS.OQ	21/12/2005	OUT
URBN.OQ	21/12/2005	IN
NXTL.OQ^H05 (expired)	15/08/2005	OUT
SEPR.OQ^J09 (expired)	15/08/2005	IN
CELG.OQ^K19 (expired)	05/07/2005	IN
VRTS.OQ^G05 (expired)	05/07/2005	OUT
CTSH.OQ	29/12/2004	IN
PSFT.OQ^A05 (expired)	29/12/2004	OUT
ADSK.OQ	19/12/2004	IN
CEPH.OQ^J11 (expired)	19/12/2004	OUT
CPWR.OQ^L14 (expired)	19/12/2004	OUT
ERIC.OQ	19/12/2004	IN
FHCC.OQ^A05 (expired)	19/12/2004	OUT
GNTX.OQ	19/12/2004	OUT
HSIC.OQ	19/12/2004	OUT
LBTYA.OQ	19/12/2004	IN
MCIP.OQ^A06 (expired)	19/12/2004	IN
NVDA.OQ	19/12/2004	OUT
PTEN.OQ	19/12/2004	OUT
RYAAY.OQ	19/12/2004	OUT
SIRI.OQ	19/12/2004	IN
NTLI.OQ^C06 (expired)	19/12/2004	IN
WYNN.OQ	19/12/2004	IN
XMSR.OQ^H08 (expired)	19/12/2004	IN
SHLD.OQ^J18 (expired)	20/08/2004	IN
SPOT.OQ^H04 (expired)	19/08/2004	OUT
ATYT.OQ^K06 (expired)	22/12/2003	IN
BB.N	22/12/2003	IN
BRCD.OQ^K17 (expired)	22/12/2003	OUT
CIEN.N	22/12/2003	OUT
ADCT.OQ^L10 (expired)	22/12/2003	OUT
ERIC.OQ	22/12/2003	OUT
HGSI.OQ^H12 (expired)	22/12/2003	OUT
ICOS.OQ^B07 (expired)	22/12/2003	OUT
ISIL.OQ^B17 (expired)	22/12/2003	IN
LRCX.OQ	22/12/2003	IN
LVLT.N^K17 (expired)	22/12/2003	IN
MRVL.OQ	22/12/2003	IN
MWW.N^K16 (expired)	22/12/2003	OUT
PRDO.OQ	22/12/2003	IN
RFMD.OQ^A15 (expired)	22/12/2003	OUT
BGEN.OQ^K03 (expired)	13/11/2003	OUT
SNDK.OQ^E16 (expired)	13/11/2003	IN
ABGX.OQ^D06 (expired)	23/12/2002	OUT
ADRX.OQ^K06 (expired)	23/12/2002	OUT
AMCC.OQ^A17 (expired)	23/12/2002	OUT
ATML.OQ^D16 (expired)	23/12/2002	OUT
CHRW.OQ	23/12/2002	IN
CHTR.OQ^D09 (expired)	23/12/2002	OUT
CYTC.OQ^L07 (expired)	23/12/2002	OUT
XRAY.OQ	23/12/2002	IN
EXPD.OQ	23/12/2002	IN
FAST.OQ	23/12/2002	IN
FHCC.OQ^A05 (expired)	23/12/2002	IN
GNTX.OQ	23/12/2002	IN
HSIC.OQ	23/12/2002	IN
ITWOE.OQ^E03 (expired)	23/12/2002	OUT
IMCL.OQ^L08 (expired)	23/12/2002	OUT
IDTI.OQ^D19 (expired)	23/12/2002	OUT
CNXT.OQ^D11 (expired)	23/12/2002	OUT
LAMR.OQ	23/12/2002	IN
VTSS.OQ^F06 (expired)	23/12/2002	OUT
PMCS.OQ^A16 (expired)	23/12/2002	OUT
PTEN.OQ	23/12/2002	IN
PDLI.OQ	23/12/2002	OUT
PETM.OQ^C15 (expired)	23/12/2002	IN
PIXR.OQ^E06 (expired)	23/12/2002	IN
ROST.OQ	23/12/2002	IN
RYAAY.OQ	23/12/2002	IN
APCC.OQ^B07 (expired)	23/12/2002	IN
SEPR.OQ^J09 (expired)	23/12/2002	OUT
WFM.OQ^H17 (expired)	23/12/2002	IN
PDCO.OQ	16/12/2002	IN
GMST.OQ^E08 (expired)	16/12/2002	OUT
CMCSK.OQ^L15 (expired)	20/11/2002	OUT
CMCSA.OQ	20/11/2002	IN
CE.N^B04 (expired)	11/11/2002	OUT
TEVA.N	07/11/2002	IN
LNCR.OQ^H12 (expired)	24/07/2002	IN
WCOEQ.OQ^G02 (expired)	24/07/2002	OUT
IMNX.O^G02 (expired)	16/07/2002	OUT
SIAL.OQ^K15 (expired)	16/07/2002	IN
ADLAE.O^F02 (expired)	03/06/2002	OUT
DLTR.OQ	03/06/2002	IN
COMS.OQ^D10 (expired)	24/12/2001	OUT
ARBA.OQ^J12 (expired)	24/12/2001	OUT
BVSN.OQ^C06 (expired)	24/12/2001	OUT
CNET.OQ^G08 (expired)	24/12/2001	OUT
CDWC.OQ^L07 (expired)	24/12/2001	IN
CEPH.OQ^J11 (expired)	24/12/2001	IN
CHTR.OQ^D09 (expired)	24/12/2001	IN
CYTC.OQ^L07 (expired)	24/12/2001	IN
ESRX.OQ^L18 (expired)	24/12/2001	IN
ICOS.OQ^B07 (expired)	24/12/2001	IN
IMCL.OQ^L08 (expired)	24/12/2001	IN
INKT.OQ^C03 (expired)	24/12/2001	OUT
IDTI.OQ^D19 (expired)	24/12/2001	IN
LVLT.N^K17 (expired)	24/12/2001	OUT
LIFE.OQ^B14 (expired)	24/12/2001	IN
MCLDQ.O^D02 (expired)	24/12/2001	OUT
NOVL.OQ^D11 (expired)	24/12/2001	OUT
NLOK.OQ	24/12/2001	IN
PALM.OQ^G10 (expired)	24/12/2001	OUT
PDLI.OQ	24/12/2001	IN
PTC.OQ	24/12/2001	OUT
RNWK.OQ	24/12/2001	OUT
STCN.OQ	24/12/2001	OUT
SEPR.OQ^J09 (expired)	24/12/2001	IN
SNPS.OQ	24/12/2001	IN
COMS.OQ^D10 (expired)	19/12/2001	IN
BVSN.OQ^C06 (expired)	19/12/2001	IN
CNET.OQ^G08 (expired)	19/12/2001	IN
INKT.OQ^C03 (expired)	19/12/2001	IN
LVLT.N^K17 (expired)	19/12/2001	IN
MCLDQ.O^D02 (expired)	19/12/2001	IN
NOVL.OQ^D11 (expired)	19/12/2001	IN
PALM.OQ^G10 (expired)	19/12/2001	IN
RNWK.OQ	19/12/2001	IN
STCN.OQ	19/12/2001	IN
APOL.OQ^B17 (expired)	17/12/2001	IN
XOXO.O^L01 (expired)	17/12/2001	OUT
EXDSQ.O^J01 (expired)	08/10/2001	OUT
ADRX.OQ^K06 (expired)	04/10/2001	IN
ATHMQ.O^J01 (expired)	04/10/2001	OUT
GILD.OQ	04/10/2001	IN
COMS.OQ^D10 (expired)	24/09/2001	OUT
BVSN.OQ^C06 (expired)	24/09/2001	OUT
CNET.OQ^G08 (expired)	24/09/2001	OUT
INKT.OQ^C03 (expired)	24/09/2001	OUT
LVLT.N^K17 (expired)	24/09/2001	OUT
MCLDQ.O^D02 (expired)	24/09/2001	OUT
PALM.OQ^G10 (expired)	24/09/2001	OUT
RNWK.OQ	24/09/2001	OUT
STCN.OQ	24/09/2001	OUT
NOVL.OQ^D11 (expired)	18/07/2001	OUT
NVDA.OQ	31/05/2001	IN
VSTR.O^E01 (expired)	31/05/2001	OUT
BMC.OQ^I13 (expired)	19/03/2001	OUT
NVLS.OQ^F12 (expired)	19/03/2001	IN
BRCD.OQ^K17 (expired)	13/02/2001	IN
SDLI.O^D01 (expired)	13/02/2001	OUT
ABGX.OQ^D06 (expired)	18/12/2000	IN
APOL.OQ^B17 (expired)	18/12/2000	OUT
BEAS.OQ^E08 (expired)	18/12/2000	IN
BIIB.OQ	18/12/2000	IN
CHKP.OQ	18/12/2000	IN
DLTR.OQ	18/12/2000	OUT
EXDSQ.O^J01 (expired)	18/12/2000	IN
FLEX.OQ	18/12/2000	IN
MLHR.OQ	18/12/2000	OUT
HGSI.OQ^H12 (expired)	18/12/2000	IN
INKT.OQ^C03 (expired)	18/12/2000	IN
LGTO.OQ^J03 (expired)	18/12/2000	OUT
MFE^C11 (expired)	18/12/2000	OUT
MERQE.OQ^A06 (expired)	18/12/2000	IN
MLNM.OQ^E08 (expired)	18/12/2000	IN
MWW.N^K16 (expired)	18/12/2000	IN
NWACQ.OQ^I05 (expired)	18/12/2000	OUT
PHS.N^L05 (expired)	18/12/2000	OUT
QTRN.OQ^I03 (expired)	18/12/2000	OUT
APCC.OQ^B07 (expired)	18/12/2000	OUT
SIAL.OQ^K15 (expired)	18/12/2000	OUT
ADPT.OQ^H10 (expired)	18/12/2000	OUT
SNPS.OQ	18/12/2000	OUT
GX.N^A02 (expired)	06/11/2000	OUT
PALM.OQ^G10 (expired)	06/11/2000	IN
BRCM.OQ^B16 (expired)	30/10/2000	IN
LCOS.O^J00 (expired)	30/10/2000	OUT
ARBA.OQ^J12 (expired)	27/10/2000	IN
NLI.N^C02 (expired)	27/10/2000	OUT
EYE.N^E05 (expired)	07/09/2000	OUT
JNPR.N	07/09/2000	IN
NSOL.O^F00 (expired)	09/06/2000	OUT
VRSN.OQ	09/06/2000	IN
ADLAE.O^F02 (expired)	10/05/2000	IN
AMCC.OQ^A17 (expired)	10/05/2000	IN
ADSK.OQ	10/05/2000	OUT
BVSN.OQ^C06 (expired)	10/05/2000	IN
