RIC	Date	Action
Q^D11 (expired)	28/08/1998	IN
LVLT.N^K17 (expired)	27/08/1998	IN
VKNG.O^H98 (expired)	27/08/1998	OUT
AM^H13 (expired)	11/02/1998	OUT
RXSD.O^G00 (expired)	11/02/1998	IN
AW^L08 (expired)	07/01/1998	IN
AFM.N^H00 (expired)	07/01/1998	IN
APOL.OQ^B17 (expired)	07/01/1998	IN
ASCL.OQ^E05 (expired)	07/01/1998	OUT
BOSTQ.O^L98 (expired)	07/01/1998	OUT
CATP.O^G01 (expired)	07/01/1998	IN
CRUS.OQ	07/01/1998	OUT
CTXS.OQ	07/01/1998	IN
DURA.O^K00 (expired)	07/01/1998	IN
EDCI.OQ^K10 (expired)	07/01/1998	OUT
ERIC.OQ	07/01/1998	IN
IDXX.OQ	07/01/1998	OUT
IMNX.O^G02 (expired)	07/01/1998	IN
INTU.OQ	07/01/1998	OUT
JCOR.O^E99 (expired)	07/01/1998	IN
OSI.N^F07 (expired)	07/01/1998	OUT
PAGE.O^G00 (expired)	07/01/1998	OUT
PETM.OQ^C15 (expired)	07/01/1998	OUT
RPM	07/01/1998	OUT
TECD.OQ	07/01/1998	IN
TRIN.OQ^I09 (expired)	07/01/1998	IN
KMAGQ.O^I01 (expired)	07/01/1998	OUT
COMS.OQ^D10 (expired)	02/12/1997	IN
ADBE.OQ	02/12/1997	IN
ADTN.OQ	02/12/1997	IN
DIGI.O^I98 (expired)	02/12/1997	IN
ALTR.OQ^L15 (expired)	02/12/1997	IN
AM^H13 (expired)	02/12/1997	IN
AMGN.OQ	02/12/1997	IN
AAPL.OQ	02/12/1997	IN
AMAT.OQ	02/12/1997	IN
ASND.O^F99 (expired)	02/12/1997	IN
ASCL.OQ^E05 (expired)	02/12/1997	IN
ATML.OQ^D16 (expired)	02/12/1997	IN
ADSK.OQ	02/12/1997	IN
PHYCQ.OB^G02 (expired)	02/12/1997	IN
BBBY.OQ	02/12/1997	IN
BGEN.OQ^K03 (expired)	02/12/1997	IN
BMET.OQ^J07 (expired)	02/12/1997	IN
BMC.OQ^I13 (expired)	02/12/1997	IN
BOSTQ.O^L98 (expired)	02/12/1997	IN
OFISE.OB^I01 (expired)	02/12/1997	IN
CTAS.OQ	02/12/1997	IN
CRUS.OQ	02/12/1997	IN
CSCO.OQ	02/12/1997	IN
CMCSK.OQ^L15 (expired)	02/12/1997	IN
ADCT.OQ^L10 (expired)	02/12/1997	IN
ANDW.OQ^A08 (expired)	02/12/1997	IN
CPWR.OQ^L14 (expired)	02/12/1997	IN
CE.N^B04 (expired)	02/12/1997	IN
CEXP.O^J99 (expired)	02/12/1997	IN
COST.OQ	02/12/1997	IN
CBRL.OQ	02/12/1997	IN
DZB^D01 (expired)	02/12/1997	IN
DELL.OQ^J13 (expired)	02/12/1997	IN
EDCI.OQ^K10 (expired)	02/12/1997	IN
EFII.OQ^G19 (expired)	02/12/1997	IN
EA.OQ	02/12/1997	IN
FAST.OQ	02/12/1997	IN
FHCC.OQ^A05 (expired)	02/12/1997	IN
FISV.OQ	02/12/1997	IN
FORE.O^F99 (expired)	02/12/1997	IN
IT	02/12/1997	IN
GNCI.O^H99 (expired)	02/12/1997	IN
GENZ.OQ^D11 (expired)	02/12/1997	IN
HBOC.O^A99 (expired)	02/12/1997	IN
MLHR.OQ	02/12/1997	IN
IDXX.OQ	02/12/1997	IN
INTC.OQ	02/12/1997	IN
SPOT.OQ^H04 (expired)	02/12/1997	IN
INTU.OQ	02/12/1997	IN
CNTO.O^J99 (expired)	02/12/1997	IN
KLAC.OQ	02/12/1997	IN
LLTC.OQ^C17 (expired)	02/12/1997	IN
MXIM.OQ^J07 (expired)	02/12/1997	IN
MFE^C11 (expired)	02/12/1997	IN
MKC	02/12/1997	IN
WCOEQ.OQ^G02 (expired)	02/12/1997	IN
MCIC.O^I98 (expired)	02/12/1997	IN
NOVL.OQ^D11 (expired)	02/12/1997	IN
MCHP.OQ	02/12/1997	IN
MSFT.OQ	02/12/1997	IN
MOLX.OQ^L13 (expired)	02/12/1997	IN
NSCP.O^C99 (expired)	02/12/1997	IN
NXTL.OQ^H05 (expired)	02/12/1997	IN
JWN	02/12/1997	IN
NWACQ.OQ^I05 (expired)	02/12/1997	IN
CHIR.OQ^D06 (expired)	02/12/1997	IN
ORCL.N	02/12/1997	IN
JAVA.OQ^B10 (expired)	02/12/1997	IN
OSI.N^F07 (expired)	02/12/1997	IN
OXHP.O^D01 (expired)	02/12/1997	IN
PCAR.OQ	02/12/1997	IN
PHS.N^L05 (expired)	02/12/1997	IN
PAGE.O^G00 (expired)	02/12/1997	IN
PAIR.O^F00 (expired)	02/12/1997	IN
PAYX.OQ	02/12/1997	IN
PSFT.OQ^A05 (expired)	02/12/1997	IN
PETM.OQ^C15 (expired)	02/12/1997	IN
PTC.OQ	02/12/1997	IN
QCOM.OQ	02/12/1997	IN
QMCO.O	02/12/1997	IN
QTRN.OQ^I03 (expired)	02/12/1997	IN
ROST.OQ	02/12/1997	IN
RPM	02/12/1997	IN
APCC.OQ^B07 (expired)	02/12/1997	IN
SIAL.OQ^K15 (expired)	02/12/1997	IN
SSCC.OQ^B09 (expired)	02/12/1997	IN
SPLS.OQ^I17 (expired)	02/12/1997	IN
SBUX.OQ	02/12/1997	IN
ADPT.OQ^H10 (expired)	02/12/1997	IN
STEI.OQ^L13 (expired)	02/12/1997	IN
SY^G10 (expired)	02/12/1997	IN
SNPS.OQ	02/12/1997	IN
TCOMA.O^C99 (expired)	02/12/1997	IN
TLAB.OQ^L13 (expired)	02/12/1997	IN
VKNG.O^H98 (expired)	02/12/1997	IN
KMAGQ.O^I01 (expired)	02/12/1997	IN
WWWW.OQ^J07 (expired)	02/12/1997	IN
WCLX.O^J01 (expired)	02/12/1997	IN
WOR	02/12/1997	IN
XLNX.OQ	02/12/1997	IN
